>	GMT_LONLAT										
>#	Data	from	the	full	resolution	GMT	shoreline,	borders,	and	rivers	database
>	Shore	Bin	#	18957,	Level	1					
-122.317586023	37.8962539101	0	0								
-122.316700999	37.8970626383	0	0								
-122.314641032	37.8949721523	0	0								
-122.314641032	37.8941176471	0	0								
-122.313756008	37.8933089189	0	0								
-122.313771267	37.8925001907	0	0								
-122.314244297	37.8920576791	0	0								
-122.315892271	37.8920576791	0	0								
-122.316746777	37.8912184329	0	0								
-122.31918822	37.8912184329	0	0								
-122.320057984	37.8903639277	0	0								
-122.320866712	37.8912184329	0	0								
-122.325078202	37.8912489509	0	0								
-122.325474937	37.8908674754	0	0								
-122.325413901	37.8899977111	0	0								
-122.325001907	37.8895246815	0	0								
-122.324193179	37.8895246815	0	0								
-122.323338674	37.8887159533	0	0								
-122.318364233	37.8887464714	0	0								
-122.317921721	37.8883039597	0	0								
-122.317967498	37.8858319982	0	0								
-122.316670481	37.8845502403	0	0								
-122.315892271	37.8845502403	0	0								
-122.31544976	37.8841687648	0	0								
-122.31544976	37.8832990005	0	0								
-122.312077516	37.8799725338	0	0								
-122.312077516	37.8791638056	0	0								
-122.310475319	37.8775005722	0	0								
-122.310475319	37.876646067	0	0								
-122.309605554	37.8758373388	0	0								
-122.309605554	37.8733043412	0	0								
-122.308751049	37.872495613	0	0								
-122.308751049	37.8716411078	0	0								
-122.309224079	37.8712443732	0	0								
-122.314168002	37.8712291142	0	0								
-122.317586023	37.874555581	0	0								
-122.319218738	37.8729228656	0	0								
-122.32091249	37.8728618296	0	0								
-122.322133211	37.8716716258	0	0								
-122.318364233	37.8678568704	0	0								
-122.317524987	37.8678568704	0	0								
-122.317112993	37.868299382	0	0								
-122.317967498	37.8691691463	0	0								
-122.317524987	37.8695811398	0	0								
-122.316716258	37.8695811398	0	0								
-122.315892271	37.8687266346	0	0								
-122.314244297	37.8686961166	0	0								
-122.313771267	37.868299382	0	0								
-122.313771267	37.8675059129	0	0								
-122.31294728	37.8666361486	0	0								
-122.31294728	37.8658274205	0	0								
-122.313359274	37.8653849088	0	0								
-122.315892271	37.8653849088	0	0								
-122.316746777	37.8662546731	0	0								
-122.317921721	37.8650034333	0	0								
-122.317967498	37.8624704356	0	0								
-122.317112993	37.8616617075	0	0								
-122.317112993	37.8608377203	0	0								
-122.315892271	37.8595559625	0	0								
-122.315114061	37.8595559625	0	0								
-122.314641032	37.859937438	0	0								
-122.314641032	37.8624704356	0	0								
-122.31419852	37.8628671702	0	0								
-122.311665522	37.8629129473	0	0								
-122.310505837	37.8641641871	0	0								
-122.310475319	37.8650339513	0	0								
-122.310078584	37.8654154269	0	0								
-122.307530327	37.8653849088	0	0								
-122.306248569	37.864133669	0	0								
-122.306248569	37.8624704356	0	0								
-122.305470359	37.8616159304	0	0								
-122.305439841	37.8591439689	0	0								
-122.304585336	37.8583352407	0	0								
-122.304585336	37.8566109712	0	0								
-122.303807126	37.8558327611	0	0								
-122.303715572	37.8532997635	0	0								
-122.30296788	37.8525062943	0	0								
-122.30296788	37.8507820249	0	0								
-122.302113375	37.8499732967	0	0								
-122.302113375	37.8483100633	0	0								
-122.301274128	37.8475013352	0	0								
-122.301274128	37.8457770657	0	0								
-122.300495918	37.8449683375	0	0								
-122.300450141	37.8424658579	0	0								
-122.299671931	37.8416723888	0	0								
-122.299641413	37.8408026246	0	0								
-122.300022889	37.840390631	0	0								
-122.306660563	37.840390631	0	0								
-122.307133593	37.8399786374	0	0								
-122.307133593	37.8391393912	0	0								
-122.307560845	37.8387273976	0	0								
-122.313328756	37.8387731746	0	0								
-122.313771267	37.838300145	0	0								
-122.313771267	37.8366369116	0	0								
-122.313359274	37.836255436	0	0								
-122.299244678	37.836224918	0	0								
-122.297993439	37.8349431601	0	0								
-122.297947662	37.8316319524	0	0								
-122.298329137	37.8312199588	0	0								
-122.299168383	37.8312504768	0	0								
-122.300053407	37.8303959716	0	0								
-122.303395132	37.8304112306	0	0								
-122.304188602	37.8295567254	0	0								
-122.308384833	37.8295872435	0	0								
-122.309163043	37.8287174792	0	0								
-122.312550546	37.8287479973	0	0								
-122.313359274	37.827893492	0	0								
-122.316670481	37.8279240101	0	0								
-122.317586023	37.8270542458	0	0								
-122.320866712	37.8270847639	0	0								
-122.321660182	37.8262149996	0	0								
-122.325001907	37.8262455177	0	0								
-122.325856413	37.8254367895	0	0								
-122.329976349	37.8254215305	0	0								
-122.331273365	37.8241702907	0	0								
-122.331303883	37.8208285649	0	0								
-122.330022126	37.8195773251	0	0								
-122.329198138	37.8203555352	0	0								
-122.325078202	37.8203860533	0	0								
-122.324162661	37.8211947814	0	0								
-122.320836194	37.8212252995	0	0								
-122.31966125	37.8199740597	0	0								
-122.31966125	37.8191653315	0	0								
-122.319218738	37.8187228199	0	0								
-122.317494469	37.8187533379	0	0								
-122.316746777	37.8195620661	0	0								
-122.315892271	37.8195620661	0	0								
-122.315022507	37.8203860533	0	0								
-122.31247425	37.8203860533	0	0								
-122.312077516	37.8199740597	0	0								
-122.312504768	37.8195773251	0	0								
-122.313359274	37.8195773251	0	0								
-122.316716258	37.8162203403	0	0								
-122.317494469	37.8162508583	0	0								
-122.320057984	37.8137178607	0	0								
-122.320836194	37.8137483787	0	0								
-122.322529946	37.8120851453	0	0								
-122.327504387	37.8120546273	0	0								
-122.328358892	37.8112001221	0	0								
-122.332478828	37.8112153811	0	0								
-122.333363851	37.8103913939	0	0								
-122.334218357	37.8103913939	0	0								
-122.335057603	37.8095826658	0	0								
-122.336690318	37.8095216297	0	0								
-122.337529564	37.8103913939	0	0								
-122.338780804	37.8091401541	0	0								
-122.338780804	37.808331426	0	0								
-122.339253834	37.8078889143	0	0								
-122.340032044	37.8078889143	0	0								
-122.340886549	37.8070344091	0	0								
-122.341725795	37.8070496681	0	0								
-122.342915999	37.8057984283	0	0								
-122.340947585	37.8037232013	0	0								
-122.337529564	37.8037537194	0	0								
-122.336690318	37.8045624475	0	0								
-122.334218357	37.8045624475	0	0								
-122.333440146	37.8053864347	0	0								
-122.3316701	37.8053864347	0	0								
-122.33089189	37.806256199	0	0								
-122.329228656	37.8062256809	0	0								
-122.328328374	37.8070801862	0	0								
-122.327550164	37.8070801862	0	0								
-122.327107652	37.8066071565	0	0								
-122.327168688	37.8058289464	0	0								
-122.326726177	37.8054169528	0	0								
-122.324254215	37.8053864347	0	0								
-122.323384451	37.8045319295	0	0								
-122.322529946	37.8045319295	0	0								
-122.322087434	37.8041351949	0	0								
-122.322133211	37.8016174563	0	0								
-122.322560464	37.8012207218	0	0								
-122.325856413	37.8012207218	0	0								
-122.326726177	37.802105745	0	0								
-122.330830854	37.802059968	0	0								
-122.33214313	37.8008087282	0	0								
-122.332082094	37.7999389639	0	0								
-122.334645609	37.7974975204	0	0								
-122.334645609	37.7966430152	0	0								
-122.333440146	37.7954375525	0	0								
-122.332585641	37.7954375525	0	0								
-122.332112612	37.7949645228	0	0								
-122.33214313	37.7924925612	0	0								
-122.332967117	37.791668574	0	0								
-122.33292134	37.7866636149	0	0								
-122.332051575	37.7858091096	0	0								
-122.332112612	37.7816433967	0	0								
-122.33089189	37.7803616388	0	0								
-122.324254215	37.7803921569	0	0								
-122.322529946	37.7787289235	0	0								
-122.317586023	37.7787441825	0	0								
-122.317143511	37.7783321889	0	0								
-122.317143511	37.7774929427	0	0								
-122.315892271	37.7762264439	0	0								
-122.308384833	37.7762569619	0	0								
-122.307911803	37.7766384375	0	0								
-122.308003357	37.7799954223	0	0								
-122.307530327	37.7804226749	0	0								
-122.299168383	37.7804226749	0	0								
-122.298802167	37.7799496452	0	0								
-122.298802167	37.7791714351	0	0								
-122.297947662	37.7783016709	0	0								
-122.301335164	37.7750057221	0	0								
-122.300450141	37.7741359579	0	0								
-122.300450141	37.7733272297	0	0								
-122.300022889	37.7729152361	0	0								
-122.299244678	37.7729152361	0	0								
-122.297550927	37.7712520027	0	0								
-122.29672694	37.7712520027	0	0								
-122.295857176	37.7703822385	0	0								
-122.29500267	37.7703669795	0	0								
-122.29422446	37.7695582513	0	0								
-122.290836957	37.7696040284	0	0								
-122.290058747	37.7704127565	0	0								
-122.289188983	37.7703822385	0	0								
-122.288807507	37.770000763	0	0								
-122.288746471	37.7674677653	0	0								
-122.289662013	37.7666895552	0	0								
-122.289662013	37.7649652857	0	0								
-122.289219501	37.7645532921	0	0								
-122.286717021	37.7646143282	0	0								
-122.285938811	37.763744564	0	0								
-122.283390555	37.763729305	0	0								
-122.282948043	37.7641107805	0	0								
-122.282948043	37.7649652857	0	0								
-122.283390555	37.7653925383	0	0								
-122.284168765	37.7653925383	0	0								
-122.28502327	37.7662012665	0	0								
-122.285893034	37.7662012665	0	0								
-122.286335546	37.7666742962	0	0								
-122.285862516	37.7670557717	0	0								
-122.28424506	37.7670557717	0	0								
-122.28377203	37.7674982834	0	0								
-122.28377203	37.7683070115	0	0								
-122.28252079	37.7695582513	0	0								
-122.281300069	37.7683680476	0	0								
-122.281330587	37.7674982834	0	0								
-122.280918593	37.7670252537	0	0								
-122.278355077	37.7670862898	0	0								
-122.277500572	37.7678644999	0	0								
-122.275410086	37.7658045319	0	0								
-122.275440604	37.7641870756	0	0								
-122.274662394	37.7633325704	0	0								
-122.274586099	37.7624780652	0	0								
-122.274280919	37.7620508125	0	0								
-122.272556649	37.7620508125	0	0								
-122.271717403	37.7612573434	0	0								
-122.269993133	37.7612573434	0	0								
-122.269214923	37.7604486152	0	0								
-122.268390936	37.7604180972	0	0								
-122.26755169	37.759563592	0	0								
-122.26582742	37.759563592	0	0								
-122.26504921	37.7587548638	0	0								
-122.263385977	37.7587243458	0	0								
-122.262531472	37.7579461357	0	0								
-122.260883497	37.7579156176	0	0								
-122.260028992	37.7570611124	0	0								
-122.258365759	37.7570611124	0	0								
-122.257495995	37.7562523842	0	0								
-122.256717784	37.7562218662	0	0								
-122.255863279	37.755367361	0	0								
-122.254200046	37.755413138	0	0								
-122.253330282	37.7546044099	0	0								
-122.251667048	37.7546044099	0	0								
-122.250827802	37.7537193866	0	0								
-122.249271382	37.7537193866	0	0								
-122.248386358	37.7529106584	0	0								
-122.246723125	37.7529106584	0	0								
-122.245883879	37.7520561532	0	0								
-122.244251164	37.7520256352	0	0								
-122.24336614	37.751216907	0	0								
-122.242557412	37.751216907	0	0								
-122.241687648	37.7504234379	0	0								
-122.240085451	37.7504234379	0	0								
-122.238742657	37.7491874571	0	0								
-122.239215686	37.7487449454	0	0								
-122.24835584	37.7487449454	0	0								
-122.249195087	37.7496147097	0	0								
-122.252521553	37.7495536736	0	0								
-122.254200046	37.7479209583	0	0								
-122.255863279	37.7479209583	0	0								
-122.257557031	37.7462272068	0	0								
-122.258411536	37.7462272068	0	0								
-122.260028992	37.7445792325	0	0								
-122.260883497	37.7445792325	0	0								
-122.262104219	37.7433279927	0	0								
-122.26131075	37.7424734874	0	0								
-122.261280232	37.7399404898	0	0								
-122.26083772	37.7395590143	0	0								
-122.26005951	37.7395284962	0	0								
-122.256687266	37.7362478065	0	0								
-122.255939574	37.7362478065	0	0								
-122.253330282	37.7337148089	0	0								
-122.252521553	37.7337148089	0	0								
-122.252140078	37.7333028153	0	0								
-122.252140078	37.7324940871	0	0								
-122.249973297	37.7303883421	0	0								
-122.249195087	37.7303578241	0	0								
-122.243335622	37.7245593957	0	0								
-122.242557412	37.7245593957	0	0								
-122.239612421	37.7216144045	0	0								
-122.240085451	37.7212176699	0	0								
-122.240863661	37.7212176699	0	0								
-122.241687648	37.7220874342	0	0								
-122.24336614	37.7220874342	0	0								
-122.243808652	37.7216449226	0	0								
-122.243808652	37.7199664302	0	0								
-122.244632639	37.71918822	0	0								
-122.243335622	37.7179217212	0	0								
-122.242557412	37.7179217212	0	0								
-122.241687648	37.7171129931	0	0								
-122.240863661	37.7171129931	0	0								
-122.239215686	37.7153582055	0	0								
-122.238391699	37.7154192416	0	0								
-122.23666743	37.7136949722	0	0								
-122.23588922	37.7137560082	0	0								
-122.233310445	37.7112230106	0	0								
-122.232532235	37.7112230106	0	0								
-122.23088426	37.7095292592	0	0								
-122.230029755	37.7095292592	0	0								
-122.228381781	37.7079118029	0	0								
-122.227557794	37.7079118029	0	0								
-122.226688029	37.7070572976	0	0								
-122.225864042	37.7070572976	0	0								
-122.224994278	37.7062485695	0	0								
-122.224216068	37.7062180514	0	0								
-122.220889601	37.7028915846	0	0								
-122.220004578	37.7028915846	0	0								
-122.219134813	37.7020828565	0	0								
-122.218356603	37.7020828565	0	0								
-122.216723888	37.7003891051	0	0								
-122.215075914	37.7003891051	0	0								
-122.21419089	37.6995803769	0	0								
-122.212558175	37.6995803769	0	0								
-122.212115663	37.6999771115	0	0								
-122.212085145	37.7008316167	0	0								
-122.211306935	37.7016098268	0	0								
-122.211306935	37.7024795911	0	0								
-122.210528725	37.7033340963	0	0								
-122.210437171	37.7083085374	0	0								
-122.208392462	37.7104142824	0	0								
-122.205889982	37.7103837644	0	0								
-122.205035477	37.7112535286	0	0								
-122.201724269	37.7112230106	0	0								
-122.200885023	37.7120775158	0	0								
-122.20047303	37.7116960403	0	0								
-122.20125124	37.710826276	0	0								
-122.201281758	37.7099717708	0	0								
-122.202166781	37.7091630426	0	0								
-122.202166781	37.7083085374	0	0								
-122.202944991	37.7074692912	0	0								
-122.202975509	37.7066605631	0	0								
-122.202563516	37.7062485695	0	0								
-122.201754788	37.7062485695	0	0								
-122.198382544	37.7029221027	0	0								
-122.192584115	37.7029221027	0	0								
-122.190890364	37.7045853361	0	0								
-122.190447852	37.7041123064	0	0								
-122.190417334	37.7008010986	0	0								
-122.189562829	37.6999923705	0	0								
-122.1900206	37.6995803769	0	0								
-122.194171054	37.6995498589	0	0								
-122.194613565	37.6991683833	0	0								
-122.194674601	37.6974441138	0	0								
-122.194201572	37.6970626383	0	0								
-122.191699092	37.6970778973	0	0								
-122.190890364	37.6978866255	0	0								
-122.189166094	37.6979171435	0	0								
-122.188799878	37.6974746319	0	0								
-122.188799878	37.6966659037	0	0								
-122.188418402	37.696192874	0	0								
-122.187548638	37.696192874	0	0								
-122.186312657	37.6950026703	0	0								
-122.186327916	37.6933394369	0	0								
-122.185473411	37.6925307088	0	0								
-122.185915923	37.6920576791	0	0								
-122.190890364	37.6970778973	0	0								
-122.191699092	37.6962233921	0	0								
-122.192584115	37.6962233921	0	0								
-122.192919814	37.6958266575	0	0								
-122.187502861	37.6904097047	0	0								
-122.185915923	37.6904097047	0	0								
-122.182909895	37.6875257496	0	0								
-122.182940414	37.6866712444	0	0								
-122.182085908	37.6858014801	0	0								
-122.182085908	37.684992752	0	0								
-122.179186694	37.6820630198	0	0								
-122.178393225	37.6820630198	0	0								
-122.177523461	37.6812542916	0	0								
