date-time, latitude, longitude, depth, RMS, Nphs, Gap, Dist, errH, errZ, Mamp, Mdur, expect_lat, expect_lon, expect_z, EllipsoidAz1, EllipsoidDip1, EllipsoidLen1, EllipsoidAz2, EllipsoidDip2, EllipsoidLen2, EllipsoidLen3, EllipseAz1, EllipseLen1, EllipseAz2, EllipseLen2, publicId
2004-09-28T18:27:20.4700,35.8317,-120.3793,5.2180,0.02,7,153,1.81,0.2773,0.2940,1.37,-9.90,35.8313,-120.3795,5.2226,-155.85,-4.87,0.18,-247.68,-20.51,0.34,0.37,245.46,0.15,155.46,0.28,30506272
2004-09-28T18:30:24.1900,35.9045,-120.4579,4.7352,0.03,9,107,5.68,0.0415,0.0604,1.24,-9.90,35.9046,-120.4579,4.7388,-170.36,0.12,0.03,-260.39,13.96,0.05,0.08,260.31,0.02,170.31,0.04,30506273
2004-09-28T18:30:45.2200,35.9556,-120.3356,6.5430,0.19,13,217,10.16,9.9920,13.0250,1.80,-9.90,35.9339,-120.3696,13.3858,-159.19,11.15,1.72,-241.76,-33.29,6.61,19.33,261.11,2.09,171.11,9.99,30506274
2004-09-28T18:31:45.3700,35.9345,-120.4912,4.4855,0.01,8,187,2.17,0.0278,0.0402,1.16,-9.90,35.9346,-120.4912,4.4774,22.59,-18.57,0.03,-72.21,-14.01,0.03,0.05,211.77,0.02,121.77,0.03,30506275
2004-09-28T18:32:01.7600,35.9347,-120.4913,4.4855,0.07,9,187,2.16,0.0300,0.0454,1.29,-9.90,35.9348,-120.4914,4.4945,20.33,-13.19,0.03,-72.47,-11.75,0.04,0.06,231.38,0.03,141.38,0.03,30506276
2004-09-28T18:32:11.8400,35.8846,-120.4364,4.8802,0.11,17,60,3.16,0.0473,0.0884,1.60,-9.90,35.8846,-120.4363,4.8658,0.09,4.24,0.04,-269.31,8.04,0.06,0.11,92.49,0.03,2.49,0.05,30506277
2004-09-28T18:34:01.4900,35.9174,-120.4770,4.0364,0.03,13,107,4.75,0.0381,0.0726,1.83,-9.90,35.9174,-120.4770,4.0308,6.53,-7.68,0.03,-83.50,-0.23,0.05,0.09,263.27,0.03,173.27,0.04,30506278
2004-09-28T18:34:50.8900,35.9253,-120.4813,4.0311,0.03,52,38,1.72,0.0174,0.0285,2.24,-9.90,35.9253,-120.4814,4.0197,-162.78,1.02,0.02,-252.83,2.79,0.02,0.04,252.56,0.01,162.56,0.02,21400466
2004-09-28T18:35:58.7400,35.8555,-120.4047,3.9293,0.02,7,85,2.22,0.1011,0.1818,1.36,-9.90,35.8553,-120.4047,3.9058,-151.52,-4.13,0.10,-240.95,7.87,0.12,0.23,246.08,0.09,156.08,0.10,30506279
2004-09-28T18:36:24.0600,35.8216,-120.3758,7.0901,0.02,8,112,2.62,0.1996,0.3066,1.40,-9.90,35.8219,-120.3760,7.0525,-167.24,-11.23,0.18,-74.24,-14.76,0.23,0.39,268.32,0.15,178.32,0.20,30506280
